id,fio,flat_id,move_in_date,move_out_date
275,Анисимова Александра Павловна,317,2023-08-20,2077-01-01
276,Семёнов Роман Петрович,317,2023-09-19,2077-01-01
277,Осипов Илья Александрович,15,2024-03-02,2077-01-01
278,Сорокин Николай Алексеевич,15,2024-04-01,2077-01-01
279,Сергеева Татьяна Николаевна,15,2024-05-01,2077-01-01
280,Киселёв Никита Дмитриевич,15,2024-05-31,2077-01-01
281,Смирнова Анна Евгеньевна,177,2024-08-12,2077-01-01
282,Бобров Марк Михайлович,288,2021-11-15,2077-01-01
283,Матвеева Ольга Владимировна,288,2021-12-15,2077-01-01
284,Иванов Андрей Алексеевич,462,2020-12-22,2077-01-01
285,Поляков Илья Дмитриевич,462,2021-01-21,2077-01-01
286,Шестаков Дмитрий Сергеевич,462,2021-02-20,2077-01-01
287,Волкова София Андреевна,855,2021-12-07,2077-01-01
288,Соболев Андрей Сергеевич,855,2022-01-06,2077-01-01
289,Романов Николай Андреевич,855,2022-02-05,2077-01-01
290,Михайлов Артём Дмитриевич,855,2022-03-07,2077-01-01
291,Романова Мария Николаевна,157,2023-02-27,2077-01-01
292,Воробьёв Юлия Андреевна,407,2021-04-15,2077-01-01
293,Жуков Никита Алексеевич,407,2021-05-15,2077-01-01
294,Кузьмина Любовь Владимировна,633,2022-10-22,2077-01-01
295,Воробьёв Вера Владимировна,633,2022-11-21,2077-01-01
296,Цветкова Татьяна Ивановна,633,2022-12-21,2077-01-01
297,Александров Александр Иванович,736,2023-06-27,2077-01-01
298,Кузнецов Максим Иванович,736,2023-07-27,2077-01-01
299,Дмитриева Виктория Александровна,736,2023-08-26,2077-01-01
300,Николаева Любовь Евгеньевна,736,2023-09-25,2077-01-01
301,Фёдорова Мария Петровна,95,2023-12-10,2077-01-01
302,Богданова Любовь Михайловна,592,2021-07-02,2077-01-01
303,Федотов Виктор Владимирович,592,2021-08-01,2077-01-01
304,Алексеев Николай Иванович,778,2024-11-14,2077-01-01
305,Суханов Роман Михайлович,778,2024-12-14,2077-01-01
306,Алексеева Татьяна Сергеевна,778,2025-01-13,2077-01-01
307,Ершова Ирина Александровна,928,2022-02-21,2077-01-01
308,Сергеев Дмитрий Владимирович,928,2022-03-23,2077-01-01
309,Крылова Марина Михайловна,928,2022-04-22,2077-01-01
310,Козлова Александра Ивановна,928,2022-05-22,2077-01-01
311,Соболев Лев Евгеньевич,337,2024-05-03,2077-01-01
312,Суханова Александра Петровна,227,2023-04-18,2077-01-01
313,Голубев Николай Андреевич,227,2023-05-18,2077-01-01
314,Тимофеева Кристина Михайловна,658,2021-06-25,2077-01-01
315,Тимофеева Татьяна Дмитриевна,658,2021-07-25,2077-01-01
316,Егорова Марина Сергеевна,658,2021-08-24,2077-01-01
317,Воробьёв Николай Иванович,697,2021-08-28,2077-01-01
318,Суханов Андрей Александрович,697,2021-09-27,2077-01-01
319,Степанова Дарья Александровна,697,2021-10-27,2077-01-01
320,Сидорова Любовь Павловна,697,2021-11-26,2077-01-01
321,Королёв Анастасия Сергеевна,73,2023-10-06,2077-01-01
322,Дмитриев Дмитрий Николаевич,78,2022-07-13,2077-01-01
323,Петрова Галина Павловна,78,2022-08-12,2077-01-01
324,Павлов Дмитрий Сергеевич,946,2022-02-13,2077-01-01
325,Сергеева Кристина Алексеевна,946,2022-03-15,2077-01-01
326,Полякова Дарья Петровна,946,2022-04-14,2077-01-01
327,Семёнова Александра Петровна,245,2021-07-26,2077-01-01
328,Дмитриева Марина Дмитриевна,245,2021-08-25,2077-01-01
329,Егоров Алексей Михайлович,245,2021-09-24,2077-01-01
330,Сидорова Ольга Евгеньевна,245,2021-10-24,2077-01-01
331,Андреев Михаил Александрович,96,2022-09-15,2077-01-01
332,Киселёв Марк Сергеевич,902,2021-12-30,2077-01-01
333,Анисимов Матвей Сергеевич,902,2022-01-29,2077-01-01
334,Давыдов Лев Михайлович,560,2023-09-06,2077-01-01
335,Пономарёв Полина Александровна,560,2023-10-06,2077-01-01
336,Максимова Алёна Петровна,560,2023-11-05,2077-01-01
337,Беляева София Евгеньевна,90,2022-06-10,2077-01-01
338,Лебедев Евгений Евгеньевич,90,2022-07-10,2077-01-01
339,Осипова Алёна Владимировна,90,2022-08-09,2077-01-01
340,Матвеева Полина Евгеньевна,90,2022-09-08,2077-01-01
341,Федотова Галина Алексеевна,638,2021-10-16,2077-01-01
342,Яковлев Алексей Михайлович,179,2021-09-05,2077-01-01
343,Петрова Варвара Ивановна,179,2021-10-05,2077-01-01
344,Федотов Артём Николаевич,934,2022-08-04,2077-01-01
345,Никитин Роман Алексеевич,934,2022-09-03,2077-01-01
346,Филиппов Николай Евгеньевич,934,2022-10-03,2077-01-01
347,Коновалов Игорь Александрович,877,2023-08-26,2077-01-01
348,Петров Виктор Андреевич,877,2023-09-25,2077-01-01
349,Поляков Сергей Алексеевич,877,2023-10-25,2077-01-01
350,Большакова Анна Андреевна,877,2023-11-24,2077-01-01
351,Филиппов Олег Александрович,431,2021-03-19,2077-01-01
352,Веселова Елена Петровна,603,2021-05-31,2077-01-01
353,Егорова Ирина Александровна,603,2021-06-30,2077-01-01
354,Лебедев Виктор Андреевич,185,2023-01-29,2077-01-01
355,Петров Егор Александрович,185,2023-02-28,2077-01-01
356,Морозова Галина Александровна,185,2023-03-30,2077-01-01
357,Голубева Юлия Михайловна,427,2023-02-09,2077-01-01
358,Большаков Денис Дмитриевич,427,2023-03-11,2077-01-01
359,Николаева Полина Петровна,427,2023-04-10,2077-01-01
360,Киселёв Любовь Александровна,427,2023-05-10,2077-01-01
361,Макаров Сергей Сергеевич,548,2022-08-19,2077-01-01
362,Иванова Татьяна Евгеньевна,596,2023-11-14,2077-01-01
363,Дорофеев Константин Алексеевич,596,2023-12-14,2077-01-01
364,Борисова Марина Дмитриевна,229,2024-03-31,2077-01-01
365,Орлова Мария Павловна,229,2024-04-30,2077-01-01
366,Николаев Олег Андреевич,229,2024-05-30,2077-01-01
367,Виноградова Александра Владимировна,963,2024-10-03,2077-01-01
368,Орлов Владимир Сергеевич,963,2024-11-02,2077-01-01
369,Тарасов Илья Владимирович,963,2024-12-02,2077-01-01
370,Соловьёв Даниил Алексеевич,963,2025-01-01,2077-01-01
371,Титова Валентина Андреевна,131,2023-06-13,2077-01-01
372,Большакова Ольга Павловна,371,2024-10-16,2077-01-01
373,Соколова Кристина Евгеньевна,371,2024-11-15,2077-01-01
374,Егоров Матвей Петрович,469,2021-07-22,2077-01-01
375,Коновалова Марина Александровна,469,2021-08-21,2077-01-01
376,Бобров Павел Дмитриевич,469,2021-09-20,2077-01-01
377,Белоусов Дмитрий Александрович,493,2022-05-28,2077-01-01
378,Маркова Екатерина Ивановна,493,2022-06-27,2077-01-01
379,Соболев Евгений Николаевич,493,2022-07-27,2077-01-01
380,Сидоров Михаил Павлович,493,2022-08-26,2077-01-01
381,Богданов Олег Дмитриевич,585,2023-06-06,2077-01-01
382,Матвеев Николай Николаевич,194,2024-08-09,2077-01-01
383,Титова Любовь Сергеевна,194,2024-09-08,2077-01-01
384,Алексеев Роман Алексеевич,268,2022-11-24,2077-01-01
385,Данилова Светлана Дмитриевна,268,2022-12-24,2077-01-01
386,Данилов Матвей Дмитриевич,268,2023-01-23,2077-01-01
387,Цветкова Елена Павловна,126,2022-11-16,2077-01-01
388,Степанова Елизавета Дмитриевна,126,2022-12-16,2077-01-01
389,Смирнов Даниил Петрович,126,2023-01-15,2077-01-01
390,Громов Марк Петрович,126,2023-02-14,2077-01-01
391,Сидорова Надежда Дмитриевна,346,2023-01-22,2077-01-01
392,Матвеева Алёна Алексеевна,701,2022-07-25,2077-01-01
393,Журавлёв Кирилл Дмитриевич,701,2022-08-24,2077-01-01
394,Соболев Андрей Алексеевич,111,2022-04-19,2077-01-01
395,Лебедев Павел Сергеевич,111,2022-05-19,2077-01-01
396,Егоров Павел Александрович,111,2022-06-18,2077-01-01
397,Громов Марк Алексеевич,999,2022-01-07,2077-01-01
398,Захаров Илья Алексеевич,999,2022-02-06,2077-01-01
399,Михайлов Константин Дмитриевич,999,2022-03-08,2077-01-01
400,Белоусова Любовь Андреевна,999,2022-04-07,2077-01-01
401,Крылов Евгений Иванович,654,2021-12-11,2077-01-01
402,Лебедев Руслан Петрович,460,2023-09-27,2077-01-01
403,Попова Марина Дмитриевна,460,2023-10-27,2077-01-01
404,Васильева Валентина Михайловна,657,2023-01-05,2077-01-01
405,Орлова Ольга Петровна,657,2023-02-04,2077-01-01
406,Максимова Ольга Ивановна,657,2023-03-06,2077-01-01
407,Фомина Кристина Сергеевна,918,2021-09-14,2077-01-01
408,Попова Вера Павловна,918,2021-10-14,2077-01-01
409,Белов Кирилл Александрович,918,2021-11-13,2077-01-01
410,Миронов Матвей Иванович,918,2021-12-13,2077-01-01
411,Андреева Марина Павловна,723,2022-03-23,2077-01-01
412,Андреева Светлана Ивановна,258,2021-07-05,2077-01-01
413,Матвеева Наталья Дмитриевна,258,2021-08-04,2077-01-01
414,Новикова Валентина Александровна,569,2022-12-04,2077-01-01
415,Зайцев Егор Павлович,569,2023-01-03,2077-01-01
416,Крылова Варвара Андреевна,569,2023-02-02,2077-01-01
417,Тимофеев Михаил Иванович,309,2021-12-13,2077-01-01
418,Андреев Виктор Павлович,309,2022-01-12,2077-01-01
419,Ефимова Ольга Петровна,309,2022-02-11,2077-01-01
420,Королёв Виктория Дмитриевна,309,2022-03-13,2077-01-01
421,Матвеев Никита Александрович,984,2023-09-17,2077-01-01
422,Соколова Валентина Александровна,254,2022-01-17,2077-01-01
423,Ширяева Валентина Дмитриевна,254,2022-02-16,2077-01-01
424,Цветков Лев Иванович,704,2024-01-25,2077-01-01
425,Тарасова Варвара Петровна,704,2024-02-24,2077-01-01
426,Новиков Евгений Владимирович,704,2024-03-25,2077-01-01
427,Кузьмин Александр Петрович,867,2020-12-16,2077-01-01
428,Егорова Юлия Михайловна,867,2021-01-15,2077-01-01
429,Васильева Елизавета Михайловна,867,2021-02-14,2077-01-01
430,Воробьёв Руслан Дмитриевич,867,2021-03-16,2077-01-01
